item_id,store_id,dept_id,cat_id,state_id,d,sales,date,wm_yr_wk,event_name_1,event_name_2,sell_price,dayofweek,month,year,day,event_1_flag,event_2_flag,lag_7,lag_14,lag_28,roll_mean_7,roll_mean_14,roll_mean_28
HOBBIES_1_001,CA_1,HOBBIES_1,HOBBIES,CA,d_1549,0,2015-04-26,11513,0,0,8.26,6,4,2015,26,1,1,0.0,0.0,0.0,0.0,0.0,0.0
HOBBIES_1_001,CA_1,HOBBIES_1,HOBBIES,CA,d_1550,1,2015-04-27,11513,0,0,8.26,0,4,2015,27,1,1,0.0,0.0,0.0,0.0,0.0,0.0
HOBBIES_1_001,CA_1,HOBBIES_1,HOBBIES,CA,d_1551,0,2015-04-28,11513,0,0,8.26,1,4,2015,28,1,1,0.0,0.0,0.0,0.0,0.0,0.0
HOBBIES_1_001,CA_1,HOBBIES_1,HOBBIES,CA,d_1552,0,2015-04-29,11513,0,0,8.26,2,4,2015,29,1,1,0.0,0.0,0.0,0.0,0.0,0.0
HOBBIES_1_001,CA_1,HOBBIES_1,HOBBIES,CA,d_1553,0,2015-04-30,11513,0,0,8.26,3,4,2015,30,1,1,0.0,0.0,0.0,0.0,0.0,0.0
HOBBIES_1_001,CA_1,HOBBIES_1,HOBBIES,CA,d_1554,1,2015-05-01,11513,0,0,8.26,4,5,2015,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0
HOBBIES_1_001,CA_1,HOBBIES_1,HOBBIES,CA,d_1555,1,2015-05-02,11514,0,0,8.26,5,5,2015,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0
HOBBIES_1_001,CA_1,HOBBIES_1,HOBBIES,CA,d_1556,2,2015-05-03,11514,0,0,8.26,6,5,2015,3,1,1,0.0,0.0,0.0,0.4285714285714285,0.0,0.0
HOBBIES_1_001,CA_1,HOBBIES_1,HOBBIES,CA,d_1557,0,2015-05-04,11514,0,0,8.26,0,5,2015,4,1,1,1.0,0.0,0.0,0.7142857142857143,0.0,0.0
HOBBIES_1_001,CA_1,HOBBIES_1,HOBBIES,CA,d_1558,0,2015-05-05,11514,Cinco De Mayo,0,8.26,1,5,2015,5,1,1,0.0,0.0,0.0,0.5714285714285714,0.0,0.0
